-0.48	-0.45	48.48
-0.96	-1.03	384.72
-0.34	-0.32	20.77
2.76	3.46	1731.66
0.78	-0.37	95.78
2.78	-1.33	8208.63
-1.3	2.53	75.85
2.85	3.09	2536.03
1.08	2.12	90.94
-0.48	2.76	642.08
2.21	0.72	1735.44
0.89	2.94	461.36
3.18	0.78	8714.12
-1.02	1.9	77.97
1.97	-0.33	1774.11
0.44	3.46	1067.25
-0.2	2.27	498.73
-0.33	3.06	872.67
1.6	2.84	8.2
1.07	2.14	99.03
-0.32	1.43	177.99
-1.01	3.25	501.29
0.65	0.02	16.32
-0.69	0.88	19.17
2.97	-1.27	10186.51
1.28	-1.26	840.15
3.23	3.27	5135.69
1.81	1.06	491.77
-0.55	-0.52	70.05
3.43	3.3	7171.36
2.58	0.51	3780.32
0.84	0.98	7.56
-1.08	-0.91	435.47
-1.15	1.21	5.89
1.3	-0.23	368.73
2.42	2.01	1481.5
2.35	1.04	2011.1
0.48	-0.21	19.67
-1.25	1.68	6.44
2.14	2.6	393.18
-0.38	0.23	2.64
-0.06	0.73	53.89
-1.46	2.42	14.37
1.1	1.78	32.5
-0.66	0.01	20.87
-1.12	2.77	234.2
0.03	0.96	92.93
2.66	-0.24	5354.56
-1.41	0.5	227.25
3.2	1.88	6993.8
3.18	0.44	9360.28
2.55	2.85	1336.48
-1.38	-0.32	500.46
2.75	2.22	2857.29
1.43	-0.93	885.19
0.54	-0.41	49.44
3.35	1.88	8733.75
1.66	2.59	3.18
2.89	0.59	6028.59
2.32	2.57	792.7
2.46	-0.31	4049.13
1.98	0.23	1362.87
1.21	2.99	232.88
3.47	-0.81	16520.66
-1.04	0.52	35.7
3.15	0.81	8308.39
-0.5	2.88	693.94
1.08	0.91	6.58
3.18	1.97	6634.62
-0.66	1.83	197.19
2.68	0.03	5118.5
1.62	-0.66	1079.11
0.96	3.45	639.28
0.91	1.01	3.32
3.32	0.93	10191.04
1.29	2.5	69.96
1.15	2.41	118.29
1.09	2.48	166.91
1.46	-0.4	641.11
-0.97	3.4	608.6
-0.53	-0.05	13.29
2.59	3.26	1191.47
2.24	-0.94	3550.84
2.04	1.1	938.42
3.27	1.87	7789.51
-0.08	0.88	77.48
-0.26	1.75	284.63
-0.39	3.14	894.69
-1.37	1.85	5.69
3.18	2.7	5499.12
-0.08	-0.01	1.19
2.72	-0.16	5715.9
-0.68	1.41	92.62
3.18	-0.16	10556.97
-0.98	-0.3	162.78
1.53	0.28	425.01
-1.06	2.83	295.42
0.29	2.62	643.58
1.48	-1.04	1043.78
0.03	1.55	240.91
2.96	2.71	3666.03
-0.79	-0.4	108.08
1.92	2.49	143.98
-0.61	-1.07	210.56
2.43	3.28	691.05
-0.24	-1.09	133.24
3.39	1.99	9034.7
0.68	2.27	326.84
